번호,HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,성질통합분류코드명
57,8443192000,20220101,20251231,"그 밖의 직물, 가죽, 벽지, 포장지, 리놀륨 등의 재료에 동일한 모양이나 문자를 반복하여 인쇄하거나 지색을 인쇄하는 인쇄기","Other printing machines of a type used for printing a repetitive design, repetitive words or overall colour on textiles, leather, wallpaper, wrapping paper, linoleum or other materials",(인쇄기계)
58,9302009010,20130101,20251231,리볼버(revolver),Revolvers,(무기 및 총포탄)
59,2909304000,20020101,20251231,앰브렛 머스크,Ambrette musk,(유기화합물)
60,3802903000,20220101,20251231,활성토,Activated clays and activated earths,(기타 화학공업제품)
61,6406201000,20020101,20251231,바깥바닥,Outer soles,(신발류)
62,8545901000,20130101,20251231,탄소봉,Carbon rod,(기타 IT부품)
63,4811902010,20020101,20251231,셀룰로오스워딩,Cellulose wadding,(기타 종이제품)
64,8201100000,20130101,20251231,가래와 삽,Spades and shovels,(수공구)
65,8509803000,20070101,20251231,바닥광택기,Floor polishers,(기타 가전제품)
66,3305200000,20130101,20251231,퍼머넌트 웨이빙(permanent waving)용이나 스트레이트닝(straightening)용 제품류,Preparations for permanent waving or straightening,(기타 헤어제품)
67,2833402000,20020101,20251231,과황산나트륨,Disodium peroxodisulphate,(무기화합물)
68,8419899040,20020101,20251231,응축기,Condensing plant and machinery,(화학기계)
69,3701999200,20130101,20251231,인쇄회로기판용,For printed circuit board,(사진용화합물)
70,2104101000,20130101,20251231,육류로 만든 것,Of meat,(기타 조제식료품)
71,1905901020,20220101,20251231,건빵,Ship's biscuits,(베이커리류)
72,8512300000,20020101,20251231,음향신호용 기구,Sound signalling equipment,(자동차 부품)
73,8415102020,20220101,20251231,소비전력이 11킬로와트 이상인 것,Of power consumption not less than 11 kW,(공기조절기)
74,5606001000,20130101,20251231,짐프사(Gimped yarn),Gimped yarn,(기타 섬유사)
75,3702561000,20220101,20251231,영화필름,Cinematographic film,(사진용화합물)
76,2917140000,20020101,20251231,무수말레산,Maleic anhydride,(유기화합물)
77,3301904520,20130101,20251231,홍삼에서 추출한 것,Of red ginseng,(인삼음료)
78,7301101000,20130101,20251231,유(U)형,U type,(봉·형강)
79,1404200000,20130101,20251231,면(綿) 린터(linter),Cotton linters,(기타 식물성 원료 및 연료)
80,8451402000,20020101,20251231,표백기,Bleaching machines,(섬유기계)
81,6114302000,20130101,20251231,재생ㆍ반(半)합성 섬유로 만든 것,Of artificial fibres,(편물제 의류)
82,1108200000,20130101,20251231,이눌린(inulin),Inulin,(기타 제분 생산품)
83,2008800000,20120101,20251231,초본류 딸기,Strawberries,(과실류 가공품)
84,2917132000,20130101,20251231,"세바스산, 그 염과 에스테르","Sebacic acid, its salts and esters",(유기화합물)
85,7019710000,20220101,20251231,베일(얇은 시트),Veils (thin sheets),(유리 및 유리제품)
86,6112310000,20130101,20251231,합성섬유로 만든 것,Of synthetic fibres,(편물제 의류)
87,2006003000,20020101,20251231,생강,Ginger,(채소류가공품)
88,5301210000,20130101,20251231,줄기를 으깨거나(broken) 두드린(scutched) 것,Broken or scutched,(마)
89,4408909195,20090101,20251231,참나무,Oak,(단판)
90,2940001010,20020101,20251231,갈락토오스,Galactose,(유기화합물)
91,8425410000,20130101,20251231,차고용 고정식 재킹시스템(jacking system),Built-in jacking systems of a type used in garages,(운반하역기계)
92,3812101000,20130101,20251231,디페닐구아니딘을 기본 재료로 한 것,Based on diphenylguanidine,(기타 정밀화학제품)
93,2918152000,20020101,20251231,시트르산의 에스테르,Esters of citric acid,(유기화합물)
94,6702100000,20130101,20251231,플라스틱으로 만든 것,Of plastics,(기타 내구소비재)
95,2832200000,20220101,20251231,그 밖의 아황산염,Other sulphites,(무기화합물)
96,7608100000,20130101,20251231,합금하지 않은 알루미늄으로 만든 것,"Of aluminium, not alloyed",(알루미늄)
97,8483409040,20220101,20251231,롤러 스크루,Roller screws,(기타 기계요소)
98,8601200000,20020101,20251231,축전지로 주행하는 것,Powered by electric accumulators,(철도차량)
99,8528712020,20220101,20251231,쌍방향 커뮤니케이션 기능을 갖춘 것,With a bilateral-communication function,(방송기기)
100,8212900000,20130101,20251231,그 밖의 부분품,Other parts,(가사용구)
