시행일자,HS10_int,사용자_상품명,사용자_상품설명
2025-10-22,8708999000,FLANGE YOKE FR ; SFJ101162001000,"ㅇ (개요) 프로펠러 샤프트 끝단에 위치하여 차량과 각도를 조절하게 해주는 FLANGE YOKE의 가공을 위한 단조 소재

ㅇ (규격) 90mm(가로) X 86mm(세로) X 67mm(높이)

ㅇ (재질) S45C(탄소강)

ㅇ (용도)
① 회전력 전달 : 변속기 출력축과 연결되어 회전력을 후륜에 전달하고 유연한 회전 전달을 위해 유니버셜 조인트와 결합되어 있음

② 진동 흡수 및 정렬 유지 : 회전축의 정렬 및 진동 완충 기능을 보조"
2025-10-22,7326190000,DUST SLINGER:IEY00156120,"ㅇ (개요) 자동차의 변속기 출력단에 연결되어 변속기에서 출력된 동력을 프로펠러 샤프트로 전달하는 END YOKE의 회전면에 부착되어 외부의 이물질의 진입을 차단하는 얇은 강판 재질(SPCC*)의 물품
* SPCC(Steel Plate Cold Commercial) : 냉간 압연 강판

ㅇ (규격) 직경 125mm / 높이 11.4mm

ㅇ (용도)
① 이물질 혼입 방지: 회전하는 휠 허브 또는 드라이브 샤프트 부위에서 베어링 내부로 흙먼지, 물 등이 침입하지 않도록 보호

② 차단벽 역할 : 원심력에 의해 회전하는 축과 함께 회전하여 외부의 오염물이 안쪽으로 들어오지 못하도록 씰이나 베어링 앞에서 차단벽 역할 수행

ㅇ (제조공정)
- 소재입고 → 프레스(세미프로)* → 프레스(벤딩)** → 프레스(단조) → 프레스(리스트라이킹)*** → 바렐**** → 포장

*세미프로 프레스 : 얇은 강판을 프레스 금형으로 1차 성형
**벤딩(Bending) : 원판 외곽 또는 가장자리를 굽혀 테두리 형상 형성
***리스트라이킹(Restriking) : 단조 후 형상의 정밀도 향상을 위한 재프레스
****바렐(barrel) : 표면의 burr을 제거하기 위한 광택을 위한 진동 연마"
2025-10-22,2905199090,Arachidyl alcohol; Fatty Alcohol Distillation Bottoms/NAB-T,"아라키딜 알코올(Arachidyl alcohol)의 백색 고상 (순도 90% 이상, CAS No. 629-96-9)

- 용도: 바이오 중유 원료용

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음."
2025-10-22,3824999090,Chemical preparations; 화장품원료(헤어퍼머용); Nareion P Mask,"ㅇ Dextrin 82~93.8%, Cyclodextrin 5~10%, Arginine 1~4%, Potasssium Sorbate 0.1~2%, Tetrasodium EDTA 0.1~2%, Chitosan Hydroxy propyltrimonium Chloride 0.05~0.5%, Sodium Alginate 0.05~0.5%로 조성된 백색계 분말

- 용도 : 두발용 제품류 원료(퍼머 악취 제거용)

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음"
2025-10-22,2202992000,Beverage of fruit juice; CIDO MULTIFRUIT NECTAR 1L,"과실 환원 주스(사과 25%, 오렌지 7%, 파인애플 6%, 만다린 2%, 패션프루트 2%, 레몬 1%), 과실퓨레(망고 3%, 키위 2%, 바나나 1%, 구아바 1%), 오렌지 펄프 0.5%, 설탕 5%, 구연산 0.1%, 비타민(A, C, E) 0.15%, 정제수 44.25% 를 혼합한 주황색계 액상을 테트라팩에 소매포장한 것(내용량: 1L)
- 용도 : 식용 (식품유형: 과·채음료)

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음"
2025-10-22,8708999000,W/CARRIER-LH(U100-주조);670701401001000,"ㅇ (개요) 차량의 뒷바퀴 부분에 위치하여 차량의 하중을 지지하고, 서스펜션 시스템 및 브레이크 시스템과의 연결을 지지하는 Wheel Carieer의 FCD700(구상흑연주철)로 구성된 물품

- Ball joint와 bush joint 의 압입공정을 통해 완제품이 됨

ㅇ (규격) 가로 234mm * 세로 240mm * 높이 185mm"
2025-10-22,8708501000,STUB SHAFT (BJ) ; 602701921001000,"ㅇ (개요) 자동차 구동축을 연결하는 샤프트를 가공하기 위한 단조 소재
- 드라이브샤프트의 구성품 중 하나로 BJ타입*의 등속조인트(CV Joint)**와 연결되는 짧은 축으로 바퀴 부분에 동력을 전달함
- 내/외경 선삭 등의 추가가공을 거쳐 완제품으로 제조됨

ㅇ (규격) 145.3mm(길이) × 50mm(외경)

ㅇ (용도)
① 동력 전달 : 변속기와 디퍼렌셜에서 발생한 회전력을 바퀴 측의 BJ조인트로 전달함

② 조향 서스펜션 운동 흡수 : 바퀴의 상하 움직임 조향각 변화를 흡수하며 원활한 동력을 전달함

③ 차량 구동계의 모듈화 : 분리 가능한 구조로 CV조인트와 허브 디퍼렌셜의 분해 정비를 용이하게 함


* BJ(Birfield join) 타입 :내부에 구형 케이지(ball cage)와 강구(steel balls)가 들어있어, 토크를 전달하면서도 각도 변화(steering, suspension 움직임)을 흡수할 수 있음

** CV joint : 자동차 바퀴가 위아래로 움직이고, 좌우로 꺾이는 와중에도 엔진의 힘을 똑같이 전달해주는 관절같은 것"
2025-10-21,3921901000,BACKED ALUMINUM FOIL; BACKED ALUMINUM FOIL,"- 폴리에틸렌(두께 74㎛), 알루미늄 박(두께 7㎛), 폴리에틸렌테레프탈레이트(두께 12㎛)를 순서대로 적층한 넌셀룰러 필름(제시 규격: 93µm x 120cm x 245m)

- (용도) 특수 원단 제조용"
2025-10-21,8419909090,TOP-SUB-ASSY(CHILLER); SW;,"ㅇ 전기차용 복합칠러*의 상단을 구성하는 물품으로 Pipe, Plate, Flange, Ring 등으로 구성되어 있음
* 전기차 배터리팩에서 나오는 냉각수와 전장제품에서 나오는 냉각수를 냉매와 열교환하여 배터리팩 온도를 일정한 온도로 유지하고 전장부품의 폐열을 흡열하는 물품

ㅇ 주요 구성요소 및 기능
- Flange-male : 팽창밸브에서 들어오는 저온의 냉매 입구
- Flange-Female : 증발기에서 열교환이 끝난 냉매가 들어오는 입구
- Ring : Pipe 강성 보강 링
- Pipe Bending : 배터리 냉각수 출구
- Pipe Bending : 배터리 냉각수 입구
- Plate Top : 칠러 외곽 보강 플레이트"
2025-10-21,8544422090,E-TYPE MODEM CABLE; PLC Cable Assy; CN;,"- 구리 기반의 플라스틱 절연전선 양 끝에 커넥터를 부착한 두 개의 케이블(전원 케이블, 신호 케이블)로 구성된 케이블 어셈블리

- (규격)
․ 전원 케이블: 579㎜, 220v(길이, 전압)

․ 신호 케이블: 527㎜, 12v(길이, 전압)

- (구성요소 및 기능)
․ 전원입력 커넥터: 모뎀 연결장치로부터 교류전원을 공급받는 커넥터

․ RVVB 케이블: 입력된 전원을 SMH020-02 커넥터로 전달

․ SMH020-02 커넥터: PLC 모뎀 PCB와 연결되어 모뎀으로 전원 공급

․ 써큘러 4P 커넥터: 모뎀 연결장치로부터 RS-485 신호를 전달받는 커넥터

․ 24AWG-4C 케이블: 입력된 RS-485 신호를 A2506-4P-HRT 커넥터로 전달

․ A2506-4P-HRT 커넥터: PLC 모뎀 PCB와 연결되어 모뎀으로 RS-485 신호 전달

- (용도) 전자식 전력량계 모뎀 연결장치*와 IOT PLC 모뎀과의 연결
*전력량계에 직접 장착되어 전원과 전기신호를 전달하는 물품"
2025-10-21,8302499000,WASTE COMPARTMENT DOOR KIT; AIRCRAFT PARTS; BD500254013K358;,"- 항공기 화장실 내의 휴지통 함 도어에 설치되는 걸림쇠(Striker)와 스크류, 인서트, 워셔, 플래카드로 구성된 KIT(걸쇠는 제시되지 않음)
- 재질 : 스테인리스
- 크기 : 2.5 × 2.5 ㎜

< 신청물품 >


< KIT 포장상태 >


< 장착위치 >

※ 걸쇠(Latch, 미제시)가 걸림쇠(신청물품)에 걸려 닫힘 상태가 되는 작동원리"
2025-10-21,8537105090,MODULE-VEHICLE TO LOAD; 916B2-PI000; 916B2-PI000; KR;,"- 소켓 assy, PCB assy, 커버/하우징, 브라켓 등으로 구성된 V2L(Vehicle to Load) 모듈로, 차량의 AC 전원을 외부기기로 출력하는 기능 수행

- (규격, ㎝) 가로 16.1 × 세로 15.1 × 높이 8.4, 중량 약 536g

- (사용전압) Max AC 125A, 15V

- 주요 구성요소 설명

① 소켓 assy : 외부기기(노트북, 전기포트 등)의 플러그가 연결되는 부분으로, 입력된 AC 전력을 외부기기로 공급하는 기능
② PCB assy : 릴레이, 보호회로, 상태 표시 회로, 피드백 회로 등으로 구성된 제어 유닛

- 주요 기능
① 상위기기(VCMS)의 제어신호에 따라 내부 릴레이 on/off → 외부기기로의 전력 공급 조절
② 과열 감지하여 과전류시 릴레이 off → 전원 공급 차단
③ 작동 상태 LED 표시 및 출력 전압 상태 모니터링 등

- (작동흐름) 신청물품에 외부기기의 플러그 삽입 → VCMS(미제시)에서 인식하고, 릴레이 제어신호(on) 송신 → PCB assy에서 릴레이 작동 → 외부기기로 전류 공급(과전류 등 이상시 자동 차단 수행됨, 전류․전압 등 변환 기능 없음 )"
2025-10-21,2008999000,Corn preparations; SALTED CRUSHED FRIED GIANT CORN,"낱알상의 옥수수를 삶은 후 파쇄하여 식물유에 유탕처리하고 소금 등으로 조미한 것

- 용도 : 스낵 제조용

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음"
2025-10-20,8419509000,CHILLER CORE(칠러); SW;,"- 개요 : 전기차 배터리팩에서 나오는 냉각수와 전장제품에서 나오는 냉각수를 칠러에서 냉매와 열교환하여 배터리팩 온도를 일정한 온도로 유지하고 전장부품의 폐열을 흡열하는 물품으로 칠러와 판형 IHX*가 통합된 형태
* 판형 IHX(Internal Heat Exchanger) : 콘덴서에서 나온 고온의 냉매와 칠러&증발기에서 나온 저온의 냉매간 열교환 수행

- 작동원리
① 압축기에서 고온고압의 냉매가 콘덴서를 거쳐 판형 IHX로 유입
② 칠러 & 증발기에서 나온 냉매가 판형 IHX로 유입되어 고온의 냉매와 열교환
③ 열 교환한 고온의 냉매는 팽창밸브(증발기 및 칠러 분기 제어)로 이동
④ 팽창밸브를 거쳐 저온저압의 액체 냉매가 칠러 & 증발기로 유입
⑤ 액체 냉매가 고온의 냉각수와 열교환*하여 저온의 기체 냉매로 변환
* 냉매 유로 플레이트(PLATE UPPER)와 냉각수 유로 플레이트(PLATE LOWER) 양쪽에서 맞닿아 흐르면서 열교환이 일어남

⑥ 저온의 기체냉매는 판형 IHX로 유입되어 고온의 냉매와 열교환*
* 얇은 금속판 사이로 두 유체(냉매)가 교차해서 흐르며, 금속판을 통해 열교환

⑦ 다시 압축기로 이동하여 사이클을 반복"
2025-10-20,8537105090,"SWITCH ASSY(WINDOW LIFT 4X-SWITCH PANEL,1214195)","플라스틱 하우징에 제어용 버튼과 스위치를 부착한 전자기기로 차량 운전석 도어 트림(Door trim)에 장착하여 사용하는 물품

(신청 물품) (장착 이미지)
- (크기) 18×4.5×6㎝ (정격 전압) DC 12V

- (기능) 차량 전 좌석 창문의 상승·하강 및 잠금·해제, 사이드 미러의 작동 및 각도 조정, 차량 도어의 잠금 및 해제 가능

- (주요 구성요소)
· 하우징, 베젤, 노브, 접점부 키패드
· PCB(전반적인 동작을 제어하는 MCU, 전원 공급 및 통신을 제어하는 SBC, 모터의 속도·방향을 제어하는 Motor Driver 등 능·수동 소자 포함)"
2025-10-20,2934996000,"N1-Methylpseudouridine-5'-Triphosphate, Sodium salt; N-1081-10","변형 뉴클레오타이드인 N1-Methylpseudouridine-5'-Triphosphate, Sodium salt를 증류수에 혼합한 액상을 바이알에 소매포장하여 냉동한 것(내용량: 2ml)

- 용도: mRNA 합성용

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음."
2025-10-20,3824999090,Chemical preparations; PhycoExo DS,"에틸헥실글리세린, 두날리엘라 살리나추출물(0.05%), 1,2-헥산다이올, 정제수를 혼합하여 조제한 미황색 액상

- 용도: 화장품 제조용(피부 유연제)

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음."
2025-10-17,3302101000,Mixtures with a basis oleoresin capsicum; DECOLORED CAPSICUM OLEORESIN,방향성 물질(Oleoresin capsicum)에 유화제(mono- and di- glycerides of fatty acids)를 혼합·조제한 미황색계 투명한 액상(용도 : 식품공업용)
2025-10-17,9019209000,"CA70 SERIES, CIRCUIT; 1090835; CA70 SERIES, CIRCUIT, TRACH, 6; US;","ㅇ 박테리아 필터, 회로튜브, 어댑터로 구성되어 본체(기침유발기)에 연결하여 환자에게 공기를 전달하는 물품

ㅇ 구성요소
(1) 박테리아 필터 : 이물질이 장비에 들어가지 않도록 하기 위한 필터
(2) 회로튜브 : 공기가 이동하기 위한 튜빙
(3) 어댑터 : 튜브와 마스크를 연결하기 위한 부분

ㅇ 작동원리
본체와 본품(Circuit)을 연결하여 환자의 기도에 양압(공기를 밀어넣음)을 공급한 다음 빠르게 음압(공기를 밖으로 강하게 빨아냄)으로 변환하는 압력전환은 기침을 시뮬레이팅하면서 폐로부터 높은 호기가스를 생성하여 기침 및 분비물 배출 유발"
2025-10-17,3302101000,Mixtures with a basis oleoresin capsicum; OLEORESIN CAPSICUM,방향성 물질(Oleoresin capsicum)에 유화제(mono- and di- glycerides of fatty acids)를 혼합·조제한 암적색계 점조액상
2025-10-17,8459219000,CNC Drilling Machine; V6CMS; CN;,"ㅇ 개요 : 회로 설계도에 따라 컴퓨터를 통해 프로그램을 설정하면 고속 스핀들(200,000 ∼ 300,000 rpm)이 X, Y, Z축으로 작동되어 전자회로 구성에 필요한 Hole을 가공하는 드릴링 머신(Drilling Machine)

ㅇ 용도 : 반도체용 기판 제조용 PREPREG와 CCL의 가공에 사용
※ PREPREG : 직조된 유리섬유에 에폭시 레진 등의 결합재(matrix)를 함침(impregnation)시킨 Sheet 형태의 물품
※ CCL : Prepreg의 한면 또는 양면에 전도 역할을 하는 동박을 입힌 것

ㅇ 구성요소 : 설비 베이스(화강암), 드릴설비 본체(Steel), 전용스핀들, 전용 제어시스템, 산업용 컴퓨터 등"
2025-10-16,3302101000,OLEORESIN CAPSICUM 1.0MIL 4500CU WS; OLEORESIN CAPSICUM 1.0MIL 4500CU WS; 15KG HDPE DRUM; IN;,"ㅇ 개요 : 추출한 올레오레진캡시컴(Oleoresin capsicum)에 폴리소르베이트(유화제) 등을 혼합한 암적색 점조액상

- 용도 : 식품공업용(향신료 조미료 등)"
2025-10-16,1702909000,Maltodextrin; MaizeCareTM Clarity Polymer,"백색 분말상의 말토덱스트린(건조 상태의 덱스트로스로 표시한 환원당 함유량 10% 초과 , 20% 미만)
- 용도: 화장품 제조용




※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음"
2025-10-16,7326909000,Split Flange; 2181-9086; CN;,"- 플랜지 어댑터*가 결합된 유압호스를 유압실린더에 고정하기 위해 사용하는 특정 형상의 물품
*유압호스와 유압실린더를 연결하기 위해 사용하는 물품

- (재질) 탄소강(SM45C*)
*탄소함량 약 0.45%의 기계구조용 탄소강

- (고정방법) 본 물품 2개로 플랜지 어댑터를 감싸고, 유압실린더 연결부에 볼트로 체결하여 고정

- (제조공정) 원재료 절단 → 기계가공(외경·내경·볼트 홀 가공, 반으로 절단, 사상 작업) → 열처리 → 표면처리(크로메이드 도금)"
2025-10-16,5515111000,Woven fabrics of polyester staple fibres mixed mainly with viscose rayon staple fibres; FABRIC; WOOD 60,"폴리에스테르 스테이플 섬유 약 45%, 비스코스레이온 스테이플 섬유 약 27%, 폴리에스테르 필라멘트 섬유 약 23%, 폴리우레탄 필라멘트사(탄성사) 약 5%로 혼방하여 직조한 백색계 직물
용도: 의류 제조용
- 물품사진:"
2025-10-16,5515139000,"Other woven fabrics of synthetic staple fibres mixed mainly with wool, dyed; FANTOM 4 58","폴리에스테르 스테이플섬유 약 54%, 양모 약 30%, 레이온 스테이플 섬유 약 16%로 혼방하여 직조한 갈색계 염색 직물"
2025-10-16,3002492000,Microbial culture; Duo Active,"- 락티카제이바실러스 람노서스(Lacticaseibacillus rhamnosus, 1.4×10^6 CFU/g)와 콤파니락토바실러스 파불리(Companilactobacillus pabuli, 1.4×10^6 CFU/g)를 부형제(옥수수 분말, 옥수수속대 분말, 세피올라이트)와 혼합한 황색계 분말상
- 용도 : 사료 원료용(보조사료 미생물제 유익균)

※ 품목분류는 수출입신고 당시의 물품 상태에 따라 변경될 수 있음"
2025-10-16,8481900000,INTERFACE CONTROL CABLE; AIRCRAFT PARTS; 1605140-002;,"- 양 끝단에 연결구류가 장착된 금속 재질의 절곡된 로드(금속 와이어가 내장) 형상의 물품으로, 각각 액츄에이터와 밸브시스템에 직접 체결되어 액츄에어터의 작동력을 물리적으로 밸브에 전달하여 밸브를 개폐하는 기계식 연결장치(길이 90㎝, 무게 1.5㎏)




(작동방식) 액추에이터 내부의 피스톤이 직선 운동 → 이 운동이 컨트롤 케이블을 통해 밸브로 기계적 전달 → 에어 밸브가 열리거나 닫힘

(용도) 터보제트엔진 내부에 장착되며, 냉각용 에어를 공급하기 위한 밸브 개폐에 사용됨



<항공기 터보제트 엔진 이미지(파란색 부분이 신청물품임)>"
2025-10-16,8542394000,BOSCH SENSOR; A2C03252400;,"- 4.9×6.0×1.5㎜ 크기의 플라스틱 패키지 내부에 반도체 제조공정으로 제작된 IC 칩과 PSB 기술*로 제작된 실리콘 기반 MEMS 칩이 나란히 배치되어 있으며, 8 pin 구조임
* PSB(Polysilicon Surface Micromachining) : 웨이퍼 기판 위에 희생층(예: SiO2) 증착 → 그 위에 다결정 실리콘(polysilicon) 증착 → 빗살 모양의 마스크를 노광하여 패턴을 형성 → 식각 및 에칭하여 polysilicon 구조물만 남김

- 관성 질량의 움직임을 전기적 신호로 변환하고 디지털 처리하여 출력하는 기능

- (용도) 자동차, 산업용, 보안 관련 시스템 등에서 가속도 센서로 사용



- (작동원리) 관성 질량의 움직임 → 정전용량 변화 → 디지털 신호 변환 → 필터링 → SPI 통신으로 출력

( 블록도 )"
2025-10-16,9032819000,Positioner; Smart positioner : STI-FT-I00ADSA (Part Number : 6201000949); IT;,"ㅇ 물품개요
상위 제어 시스템(DCS/PLC)로부터 4~20mA의 전류신호 형태로 수신받은 밸브 개도 요구(Demand)의 목표치와 밸브개도 상태를 감지하여 4~20mA의 전류형태로 Valve position feedback transmitter로 수신받은 밸브개도의 측정치를 비교하여 두 값을 일치시키기 위해 작동기인 공압식 액츄에이터에 명령 신호를 출력하는 기기

ㅇ 물품의 형태 및 구성요소

<신청물품><신청물품 장착위치>
- 하우징 : 알루미늄/스테인리스, IP66, NEMA 4X 보호 등급
- 구동부 : 액추에이터쪽으로 고유량 제어(Cv=2.3)신호 출력
- 센서신호 수신 및 피드백: 작동기에 대한 회전각(30°~120°) 기반 위치 피드백, 자체 보정(Self calibration) 기능
- 통신 인터페이스: 4–20mA 전류 루프, HART 통신, RS232 지원
- 출력/입력 신호: 4–20mA 피드백 출력, 디지털 입력(트립), 디지털 출력(리미트 스위치/알람) 가능
- 진단 기능: 밸브 시그니처 테스트, 스텝 응답, 안정성 분석, 소프트 시트 접근 등"
2025-10-16,8415900000,INNER CONDENSER ASSY (실내콘덴서); SG2 EV;,"- 엔진 폐열이 없는 전기차 히트펌프 시스템의 주요 부품으로 압축기에서 온 고온고압의 기체 냉매를 실내 공기와 열교환하여 응축시키며 액화하는 장치

- 작동원리
∙ 압축기에서 나온 고온고압의 기체 냉매가 유입되어 HVAC 모듈 내부의 블로워 모터가 불어주는 실내 공기와 열교환 수행
∙ 이 과정에서 냉매는 열을 방출하여 공기를 데우고 액체상태로 응축되어 팽창밸브로 이동"
