HS10,HS부호,성질통합분류코드명,영문품목명,한글품목명,HS10_int,사용자_상품명,사용자_상품설명
7020001011,7020001011,(유리 및 유리제품),Quartz reactor tubes and holders designed for insertion into diffusion and oxidation furnaces for production of semiconductor wafers,반도체 웨이퍼(wafer) 제조용으로 확산로(擴散爐)와 산화로(酸化爐)에 삽입할 수 있도록 고안된 석영 리액터(reactor) 튜브와 홀더,7020001011,반도체 웨이퍼(wafer) 제조용으로 확산로(擴散爐)와 산화로(酸化爐)에 삽입할 수 있도록 고안된 석영 리액터(reactor) 튜브와 홀더,반도체 웨이퍼 공정용 확산로·산화로에 넣어 사용하는 석영 튜브와 지지대입니다.
7117191000,7117191000,(장신구),Necklace,목걸이,7117191000,목걸이,값비싼 귀금속이 아닌 합금 금속으로 만든 장식용 목걸이입니다.
7210702000,7210702000,(철강 판재),Of a thickness of less than 4.75 ㎜,두께가 4.75밀리미터 미만의 것,7210702000,두께가 4.75밀리미터 미만의 것,"표면에 도장이나 플라스틱 코팅을 한, 두께 4.75mm 미만의 도금 강판입니다."
7225401000,7225401000,(철강 판재),Of high speed steel,고속도강의 것,7225401000,고속도강의 것,공구 제작 등에 쓰는 고속도 합금강 열간 평판재입니다.
7325991000,7325991000,(기타 공구류),Of cast iron,주철로 만든 것,7325991000,주철로 만든 것,산업용 부품·기계 등에 사용하는 각종 주철 주물 제품입니다.
7404000000,7404000000,(비(非)철금속의 부산물),Copper waste and scrap.,구리의 웨이스트(waste)와 스크랩(scrap),7404000000,구리의 웨이스트(waste)와 스크랩(scrap),재용해·재활용을 위한 구리 스크랩과 부산물입니다.
7608200000,7608200000,(알루미늄),Of aluminium alloys,알루미늄 합금으로 만든 것,7608200000,알루미늄 합금으로 만든 것,배관이나 구조재로 사용하는 알루미늄 합금 파이프입니다.
8207130000,8207130000,(착암공구),With working part of cermets,작용하는 부분을 서멧(cermet)으로 만든 것,8207130000,작용하는 부분을 서멧(cermet)으로 만든 것,"암반을 뚫거나 토사를 굴착할 때 쓰는, 작업 부위가 서멧 재질인 착암·굴착용 공구입니다."
8207401000,8207401000,(탭핑공구),For tapping,태핑(tapping)용,8207401000,태핑(tapping)용,나사를 새기기 위해 구멍 안쪽을 가공하는 탭 가공용 교환식 공구입니다.
8207702000,8207702000,(밀링공구),Milling cutters,밀링커터,8207702000,밀링커터,밀링 가공 장비에 장착해 금속을 깎는 밀링 커터입니다.
8302200000,8302200000,(기타 기계요소),Castors,카스터(castor),8302200000,카스터(castor),가구나 장비 밑에 달아 이동시키는 바퀴 달린 캐스터입니다.
8404101000,8404101000,(냉난방기계 부품),Economisers,연료절약기,8404101000,연료절약기,보일러 배기가스를 이용해 열 효율을 높이는 에코노마이저 등 연료 절감 장치입니다.
8413913000,8413913000,(펌프 부품),Of reciprocating pumps,왕복펌프의 것,8413913000,왕복펌프의 것,왕복운동식 액체 펌프에 사용하는 각종 부품입니다.
8419899010,8419899010,(화학기계),Heating plant and machinery,가열기,8419899010,가열기,금속·화학제품 등을 가열 처리하는 산업용 또는 실험실용 가열 장치입니다.
8419899020,8419899020,(화학기계),Cooling plant and machinery,냉각기,8419899020,냉각기,공정 중 뜨거워진 재료나 유체를 식히는 산업용 냉각 설비입니다.
8422302000,8422302000,(식품포장기계),Machinery for closing or sealing bottles or other containers,병이나 그 밖의 용기의 봉함용ㆍ 봉지용 기계,8422302000,병이나 그 밖의 용기의 봉함용ㆍ 봉지용 기계,병·캔·봉투 등에 내용물을 채우고 뚜껑을 닫거나 밀봉·라벨을 부착하는 포장 기계입니다.
8461401010,8461401010,(금속절삭가공기계),Numerically controlled,수치제어식,8461401010,수치제어식,기어를 자동으로 깎고 연마하는 수치제어식 금속 가공 기계입니다.
8466100000,8466100000,(가공공작기계 부품),Tool holders and self-opening dieheads,툴홀더(tool holder)와 자동개폐식 다이헤드(diehead),8466100000,툴홀더(tool holder)와 자동개폐식 다이헤드(diehead),선반·머시닝센터 등에 공구를 고정하거나 자동으로 탭을 여닫는 공구 홀더와 다이헤드입니다.
8473400000,8473400000,(기타 정밀기계 부품),Parts and accessories of the machines of heading 84.72,제8472호에 해당하는 기계의 부분품과 부속품,8473400000,제8472호에 해당하는 기계의 부분품과 부속품,계산기·금전등록기 등 사무·사무처리 기기에 주로 사용하는 기계 부품과 부속품입니다.
8474900000,8474900000,(광산기계 부품),Parts,부분품,8474900000,부분품,광석을 선별·세척·파쇄·혼합하는 광산·광물 처리 설비에 사용하는 부품입니다.
8477102000,8477102000,(고무·플라스틱 가공기계),For plastic-industry,플라스틱 공업용,8477102000,플라스틱 공업용,플라스틱 원료를 금형에 주입해 제품을 찍어내는 사출성형기입니다.
8479899050,8479899050,(기타 일반기계),Coating machines,코팅머신(도포기),8479899050,코팅머신(도포기),필름·종이·섬유 등에 도료나 점착제를 균일하게 발라주는 코팅 장비입니다.
8481400000,8481400000,(밸브),Safety or relief valves,안전밸브,8481400000,안전밸브,압력이 일정 수준을 넘으면 자동으로 열려 압력을 빼주는 배관용 안전밸브입니다.
8501321000,8501321000,(중대형 직류 전동기),DC motors,직류 전동기,8501321000,직류 전동기,각종 설비 구동에 사용하는 중·대형 직류 모터입니다.
8502131010,8502131010,(엔진결합 발전기),Not less than an output equivalent to 400 kW,400킬로와트에 상응하는 출력 이상인 것,8502131010,400킬로와트에 상응하는 출력 이상인 것,대형 건물·공장·선박 등에 쓰는 고출력 디젤 발전기 세트입니다.
8509804000,8509804000,(기타 가전제품),Kitchen waste disposers,주방용 쓰레기처리기,8509804000,주방용 쓰레기처리기,싱크대 배수구에 설치해 음식물 찌꺼기를 잘게 분쇄하는 주방용 쓰레기 처리기입니다.
8515211010,8515211010,(용접기),Of robot type,로봇형,8515211010,로봇형,자동차 차체 등의 금속 부품을 자동으로 저항용접하는 산업용 용접 로봇입니다.
8516100000,8516100000,(기타 가전제품),Electric instantaneous or storage water heaters and immersion heaters,전기식의 즉시식ㆍ저장식 물가열기와 투입식 가열기,8516100000,전기식의 즉시식ㆍ저장식 물가열기와 투입식 가열기,가정이나 건물에서 온수를 공급하기 위한 즉시 가열식·저장식 전기 온수기와 투입식 히터입니다.
8518101000,8518101000,(기타 가전제품),"Microphones having a frequency range of 300 Hz to 3.4KHz with a diameter of not exceeding 10 ㎜ and a height not exceeding 3 ㎜, for telecommunication use","전기통신용 마이크로폰(지름이 10밀리미터 이하이고, 높이가 3밀리미터 이하이며, 주파수 대역이 300헤르츠부터 3.4킬로헤르츠까지인 것으로 한정한다)",8518101000,전기통신용 마이크로폰(지름이 10밀리미터 이하이고,높이가 3밀리미터 이하이며
8519815000,8519815000,(음향기기),Using semiconductor media,반도체 매체를 이용하는 기기,8519815000,반도체 매체를 이용하는 기기,반도체 메모리를 이용해 음악을 저장하고 재생하는 음향기기입니다.
8526920000,8526920000,(기타 무선통신기기),Radio remote control apparatus,무선원격조절기기,8526920000,무선원격조절기기,리모컨 신호로 각종 장비를 원격으로 켜고 끄는 무선 제어 장치입니다.
8528591010,8528591010,(방송기기),Of specially manufactured for medical purpose,의료용으로 특수 제작된 것,8528591010,의료용으로 특수 제작된 것,CT·MRI 등 의료 영상 장비에 연결해 진단 화면을 표시하는 의료용 전용 모니터입니다.
8532901000,8532901000,(기타 IT부품),Of fixed capacitors,고정식의 것,8532901000,고정식의 것,난방·냉방 설비 등에 설치해 자동으로 온도를 제어하는 고정식 온도조절기입니다.
8539210000,8539210000,(기타 조명장치),Tungsten halogen,텅스텐 할로겐의 것,8539210000,항공기용,항공기에 장착해 비행 상태를 자동으로 제어·감시하는 제어 계측 장비입니다.
8539510000,8539510000,(발광다이오드(LED) 장치),Light-emitting diode (LED) modules,발광다이오드(엘이디) 모듈,8539510000,차량용 의자,승용차·버스·트럭 등에 장착하는 자동차 전용 좌석입니다.
8609003000,8609003000,(기타 수송장비),For the transport of ordinary goods and material,일반화물 운반용,8609003000,부분품과 부속품,장난감 자동차·인형·퍼즐 등에 조립해 사용하는 각종 완구용 부품과 부속품입니다.
8708920000,8708920000,(자동차 부품),Silencers (mufflers) and exhaust pipes; parts thereof,"소음기(머플러), 배기관, 그 부분품",8708920000,그 밖의 완구(세트ㆍ아웃피트로 되어 있는 경우로 한정한다),역할놀이·공구놀이 등 여러 가지 장난감이 한 세트로 구성된 완구 세트입니다.
8714949000,8714949000,(자전거 부품),Parts thereof,이들의 부분품,8714949000,사용자_상품명,사용자_상품설명
9011101000,9011101000,(기타 사진 및 광학기기),Fitted with equipment specifically designed for the handling and transport of semiconductor wafers or reticles,반도체 웨이퍼나 레티클의 취급과 이송용으로 특별히 고안된 장치가 부착된 것,9011101000,천연꿀,"벌집에서 채취한, 첨가물 없는 100% 천연 꿀입니다."
9013802000,9013802000,(기타 사진 및 광학기기),"Magnifiers, loupes, thread counters","확대경, 루페, 섬유 카운터",9013802000,펠릿(pellet),카사바(마니옥) 뿌리를 잘라 말린 뒤 알갱이(펠릿) 형태로 만든 전분질 농산물입니다.
9032102000,9032102000,(기타 정밀기계),Of fixed type,고정식,9032102000,망고(mango),생과 상태이거나 말려서 유통되는 식용 망고입니다.
9032899010,9032899010,(기타 항공기 부품),For aircraft,항공기용,9032899010,대추,간식이나 차 재료로 사용하는 말린 대추입니다.
9401200000,9401200000,(자동차 부품),Seats of a kind used for motor vehicles,차량용 의자,9401200000,이 류의 견과류나 건조한 과실의 혼합물,각종 견과류와 건조 과일을 섞어 만든 혼합 간식 제품입니다.
9503001900,9503001900,(완구류),Parts and accessories,부분품과 부속품,9503001900,귀리로 만든 것,귀리를 빻거나 잘게 잘라 만든 곡물 가공품입니다.
9503003700,9503003700,(완구류),"Other toys, put up in sets or outfits",그 밖의 완구(세트ㆍ아웃피트로 되어 있는 경우로 한정한다),9503003700,볶지 않은 것,보리를 싹 틔운 뒤 볶지 않고 건조한 맥아입니다.
