HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,성질통합분류코드명,이름,설명,사유,HS_4자리,HS_6자리,description_4자리,category_4자리,description_6자리,category_6자리,사용자_상품명,사용자_상품설명
2922413000,20020101,20251231,리신의 염과 리신에스테르의 염,Salts of lysine and its esters,(유기화합물),Lysine monohydrochloride; L-LYSINE(FEED GRADE); MALAYA,"미황색 분말상의 L-lysine monohydrochloride
- 용 도 : 사료용","ㅇ 관세율표 제8483호에는 “플레인 샤프트베어링(plain shaft bearing)”이 분류되고,
- 동 호 해설서에서 “플레인샤프트 베어링은 감찰성의 금속 또는 기타의 재료(예: 소결금속 또는 플라스틱)의 링으로 되어 있다. 이러한 것은 한 개로 되어 있거나 또는 수개를 한 개로 죈 것이 있으나 그 어느 것이든지 축 또는 차축이 그 내부에서 회전하는 평면 베어링을 형성하고 있다.”라고 설명하고 있음
ㅇ 또한 관세율표 제16부 총설에서 “.... 어떤 물품 자체가 이 부의 하나의 호(제8487호 및 제8548호는 제외한다)에 해당하는 물품을 구성하는 경우에는 부분품 규정을 적용하지 않는다. 이러한 경우 이들 각종 부분품은 비록 특정기계의 부분품으로 작동하도록 특별히 설계·제작하였다 하더라도 각 해당 호에 분류된다. 이러한 것은 특히 다음에 적용한다. .... (6) .... 베어링하우징·플레인샤프트베어링·....(제8483호)”라고 설명하고 있음
ㅇ 따라서 본 물품은 유압실린더와 버킷의 연결체(LINK) 내 장착되어 윤활작용으로 마찰력 감소 등의 기능을 수행하는 플레인샤프트 베어링이므로 보아 관세율표 해석에 관한 통칙 제1호 및 제6호에 의거 제8483.30-9000호에 분류함",2922,292241,Oxygen-function amino-compounds,"oxygen, compounds, amino, function","Amino-acids, other than those containing more than one kind of oxygen function, and their esters; lysine and its esters; salts thereof","acids, amino",리신의 염과 리신에스테르의 염,"(유기화합물) 대분류: Oxygen-function amino-compounds, 중분류: Amino-acids, other than those containing more than one kind of oxygen function, and their esters; lysine and its esters; salts thereof"
2924291010,20130101,20251231,아미노아세트아닐리드와 그 유도체,Aminoacetanilide and its derivatives,(유기화합물),6-Acetyl-2-aminophenol-4-sulfonic acid ; INDIA,"갈색 분말상의 6-Acetyl-2-aminophenol-4-sulfonic acid
- 용 도 : 제조원료(섬유염색용 BLUE221)","○ 관세율표 제2924호에는 ""카르복시 아미드관능화합물, 탄산의 아미드관능화합물""을 분류하며, 소호 제2924.29-1010호에는 ""아미노아세트 아닐리드와 그 유도체""를 세분류하고 있고,
- 같은 호 해설서에서 ""아미드는 다음의 특유한 기를 함유하고 있는 화합물이다. 제1아미드: (-CONH2)""라고 예시하고 있음.
○ 따라서 본 품은 아미노아세트아닐리드에 히드록시관능기와 술폰산관능기가 유도된 것으로서 ""아미노아세트아닐리드와 그 유도체""에 해당하므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제2924.29-1010호에 분류함.",2924,292429,Carboxyamide-function compounds; amide-function compounds of carbonic acid,"function, compounds, carboxyamide","Cyclic amides (including cyclic carbamates) and their derivatives; other than the derivatives and salts of ureines, 2-acetamidobenzoic acid (N-acetylanthancillic acid),ethinamate S, and alachlor (ISO) and their derivatives and salts","derivatives, amides, cyclic, carbamates",아미노아세트아닐리드와 그 유도체,"(유기화합물) 대분류: Carboxyamide-function compounds; amide-function compounds of carbonic acid, 중분류: Cyclic amides (including cyclic carbamates) and their derivatives; other than the derivatives and salts of ureines, 2-acetamidobenzoic acid (N-acetylanthancillic acid),ethinamate S, and alachlor (ISO) and their derivatives and salts"
2932209091,20170101,20251231,농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),(농약),Abamectin; ABAMECTIN; PR.CHNA,"백색 결정성 분말상의 abamectin(CAS. No. 71751-42-2)
- 용도 : 농약제조용 원제","ㅇ 관세율표 제2932호에는 '산소 원자만을 함유한 헤테로고리 화합물'을 분류하고, 소호 제2932.20호에는 '락톤'을 세분류하고 있으며
- 같은 해설서에는 ""(B)락톤: 이들 화합물은 알코올 또는 페놀 관능을 가진 카르복시산의 분자내 에스테르로 볼 수 있으며 물분자를 제거하여 형성된다. 분자는 한 고리안에 한 개 이상의 에스테르 관능을 함유하고 있을 수 있다. 이들은 존재하는 에스테르 관능의 수에 따라 모노·디트리락톤 등으로 알려져 있다. 그러나, 다염기산을 가진 다가 알코올의 환식 에스테르는 제외된다(이 류의 주 제7호 참조)""라고 구체적으로 설명하고 있음.
ㅇ 본 물품은 산소헤테로고리를 기본으로 한 ‘그 밖의 락톤구조’를 가지는 화합물로서 농약원제로 등록된 것이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제2932.20-9091호에 분류함.",2932,293220,Heterocyclic compounds with oxygen hetero-atom(s) only,"oxygen, heterocyclic, hetero, compounds, atom","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones","compounds, heterocyclic",농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),"(농약) 대분류: Heterocyclic compounds with oxygen hetero-atom(s) only, 중분류: Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones"
3206500000,20130101,20251231,루미노퍼(luminophore)로 사용되는 무기물,Inorganic products of a kind used as luminophores,(염료 및 안료),Inorganic products of a kind used as luminophores; 5480KC0048A-H; GAL535-01-B13-1038; PR.CHNA,"Lutetium oxide, Aluminium oxide 등으로 조성된 형광성이 있는 연두색계 분말
- 용도 : LED용 형광체","ㅇ 관세율표 제3206호에는 ""그 밖의 착색제와 조제품(제3203호·제3204호·제3205호에 해당하는 물품은 제외하며, 이 류의 주 제3호의 것으로 한정한다), 루미노퍼(luminophore)로 사용되는 무기물(화학적으로 단일한 것인지에 상관없다)""이 분류되며, 제3206.50-0000호에는 ""루미노퍼(luminophore)로 사용되는 무기물""을 열거하고 있음
ㅇ 또한, 같은 호 해설서 ""(B) 무기의 루미노퍼(화학적으로 단일한 것인지의 여부를 불문한다)""에 대하여 ""무기의 루미노퍼는 가시 또는 비가시의 방사선(태양광선·자외선·음극선·X선 등)의 작용하에 발광효과(형광 또는 인광)를 일으키는 물품이다.""라고 설명하고 있음
ㅇ 따라서, 본 품은 발광효과를 일으키는 무기의 루미노퍼이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제3206.50-0000호에 분류함",3206,320650,"Colouring matter and preparations thereof n.e.c. in heading no. 3203, 3204, 3205; inorganic products, kind used as luminophores whether or not chemically defined","matter, preparations",Colouring matter; inorganic products of a kind used as luminophores,matter,루미노퍼(luminophore)로 사용되는 무기물,"(염료 및 안료) 대분류: Colouring matter and preparations thereof n.e.c. in heading no. 3203, 3204, 3205; inorganic products, kind used as luminophores whether or not chemically defined, 중분류: Colouring matter; inorganic products of a kind used as luminophores"
3209102010,20020101,20251231,페인트(에나멜을 포함한다),Paints (including enamels),(도료 및 잉크),Paints; J-FPM; R.KOREA,"Vinyl acetate copolymer, Graphite 등을 물에 분산시킨 회색계 점조 액상의 수성페인트임

- 용도 : 방염성 도료","ㅇ 관세율표 제3209호에는 ""페인트와 바니시(varnish)[에나멜과 래커(lacquer)를 포함하며, 합성 중합체나 화학적으로 변성한 천연 중합체를 기본 재료로 하여 수성(水性) 매질(媒質)에 분산하거나 용해한 것으로 한정한다]""가 분류되며,

ㅇ 같은 호 해설서에서 ""이 호의 페인트는 합성중합체 또는 화학적으로 변성한 천연중합체를 기제로 한 결합제를 불용성 착색제(주로 광물성 또는 유기안료·레이크안료) 및 충전제의 분산물과 혼합하여 수성매질에 용해 또는 분산한 액이다.""라고 해설하고 있음

ㅇ 본 물품은 비닐계 공중합체를 기제로 하여 흑연과 이산화티타늄을 수성매질에 분산시킨 수성페인트에 해당하므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 의하여 제3209.10-2010호에 분류함",3209,320910,"Paints and varnishes (including enamels and lacquers) based on synthetic or chemically modified natural polymers, dispersed or dissolved in an aqueous medium","synthetic, enamels, polymers, paints, lacquers, medium, varnishes, modified, aqueous, natural","Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium","paints, varnishes",페인트(에나멜을 포함한다),"(도료 및 잉크) 대분류: Paints and varnishes (including enamels and lacquers) based on synthetic or chemically modified natural polymers, dispersed or dissolved in an aqueous medium, 중분류: Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium"
3403193000,20130101,20251231,방청제나 부식방지제,Anti-rust or anti-corrosion preparations,(기타 정밀화학제품),Anti-corrosion preparations; VISCONORUST 2090P-4; R.KOREA,"파라핀계 왁스, 석유계 솔벤트, 석유술폰산염, 황산칼슘 등으로 조성된 미황색계 반고상

- 용도 : 원전시설 부식 방지용 방청제","ㅇ 관세율표 제3403호에는 '조제윤활유(윤활제를 기제로 한 조제절삭제ㆍ볼트 또는 너트방출제ㆍ방청제 또는 부식방지제 및 이형조제품을 포함한다)와 방직용 재료ㆍ가죽ㆍ모피 또는 기타 재료의 오일링처리 또는 가지처리에 사용하는 조제품(석유 또는 역청유의 함유량이 전중량의 100분의 70 이상인 것을 기제로 한 조제품을 제외한다)'이 분류되며, 제3403.19-3000호에서 '방청제나 부식방지제(Anti-rust or anti-corrosion preparations)'를 세분류하고 있음

ㅇ 본 품은 석유나 역청유의 함유량이 70% 미만인 '방청제나 부식방지제(Anti-rust or anti-corrosion preparations)'에 해당하므로 관세율표의 해석에 관한 통칙 제1호 및 제6호 규정에 따라 제3403.19-3000호에 분류함",3403,340319,Lubricating preparations and those used in oil or grease treatment of textile and similar materials; excluding preparations containing 70% or more (by weight) of petroleum or bituminous mineral oils,"textile, similar, grease, oil, treatment, materials, preparations","Lubricating preparations; (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",preparations,방청제나 부식방지제,"(기타 정밀화학제품) 대분류: Lubricating preparations and those used in oil or grease treatment of textile and similar materials; excluding preparations containing 70% or more (by weight) of petroleum or bituminous mineral oils, 중분류: Lubricating preparations; (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals"
3407002000,20220101,20251231,치과용 왁스나 치과용 인상재료,Preparations known as “dental wax” or as “dental impression compounds”,(기타 화학공업제품),Dental impression compounds; Eazipan LC,"Glass bead, Urethane methacrylate, Fumed silica, Triethylene glycol dimethacrylate 등으로 조제된 연질의 분홍색계 사다리꼴 판상의 것 2개를 수지제 봉투에 소매포장한 것
- 용도 : 치과용 인상재

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제3407호에는 “조형용 페이스트(paste)(아동 오락용을 포함한다), 치과용 왁스나 치과용 인상재료[세트로 된 것, 소매용으로 포장된 것, 판 모양ㆍ말굽 모양ㆍ막대(stick) 모양이나 이와 유사한 모양의 것으로 한정한다], 플라스터(plaster)(소석고나 황산칼슘으로 만든 것으로 한정한다)를 기본 재료로 한 그 밖의 치과용 조제품”을 분류하며, 제3407.00- 2000호에는 ""치과용 왁스나 치과용 인상재료""를 세분류하고 있음

- 같은 호 해설서에서 “(B) 치과용 왁스(dental wax)나 치과용 인상재료(dental impression compound)로 알려진 조제품”에 대해 “이것은 치과에서 치형을 뜨는데 사용하는 여러 가지 성분의 조제품이다. 보통, 왁스ㆍ플라스틱ㆍ구타페르카(gutta-percha)에 로진(rosin)ㆍ셸락(shellac)과 충전제(예: 가루 운모)를 혼합한 것이며 일반적으로 착색되어 있고 경질(硬質 : hard)ㆍ약간 연질(軟質 : soft)이다. 이러한 조제품은 세트의 것ㆍ소매용 포장의 것ㆍ판 모양ㆍ말굽 모양(속이 찬 것이나 속이 빈 것)ㆍ막대(stick) 모양과 이와 유사한 모양으로 되어있을 경우에만 한정하여 이 호에 분류한다.”라고 설명하고 있음

ㅇ 따라서, 본 물품은 상기 물품설명과 같이 조제된 치과용 인상재료이므로 관세율표의 해석에 관한 통칙 제1호에 따라 제3407.00-2000호에 분류함",3407,340700,"Modelling pastes, including those for children; dental wax, impression compounds, in sets or packings for retail sale or in plates and similar forms; dentistry preparations with plaster base","pastes, children","Modelling pastes; preparations known as dental wax, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms, other preparations for use in dentistry",pastes,치과용 왁스나 치과용 인상재료,"(기타 화학공업제품) 대분류: Modelling pastes, including those for children; dental wax, impression compounds, in sets or packings for retail sale or in plates and similar forms; dentistry preparations with plaster base, 중분류: Modelling pastes; preparations known as dental wax, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms, other preparations for use in dentistry"
3505104010,20130101,20251231,식품용,For food,(기타 정밀화학제품),Pregelatinised starch; PREGEFLO WM(PREGELATINIZED WHEAT STARCH); FRANCE,"백색 분말상의 프리젤라티나이지드(pregelatinised) 전분
- 용도 : 식용","ㅇ 관세율표 제3505호에는 '덱스트린과 그 밖의 변성전분[예: 프리젤라티나이지드(pregelatinised) 전분이나 에스테르화 전분], 전분·덱스트린이나 그 밖의 변성전분을 기본 재료로 한 글루(glue)'가 분류되며, 소호 제3505.10호에 '덱스트린과 그 밖의 변성전분'을 세분류하고 있음.
- 같은 호 해설서에서 ""(3) 호화전분 및 ‘팽윤’전분: 전분을 물로 가습해서 다소의 젤라틴 같은 덩어리를 얻기 위한 열처리를 한 후, 이것을 건조해서 분상의 것이 되도록 분쇄해서 만들어진다. 또한 이러한 물품은 압출한 후 분상의 것이 되도록 분쇄해서 만들어진다. 이것은 제지·섬유공업·야금(주물용코어 점결제 조제용)·식품공업 및 동물사료용 등에 사용된다.""라고 설명하고 있음.
ㅇ 따라서, 본 품은 식품용의 프리젤라티나이지드 전분이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제3505.10-4010호에 분류함.",3505,350510,Dextrins and other modified starches (e.g. pregelatinised or esterified starches); glues based on starches or on dextrins or other modified starches,"starches, substances, albuminoidal, modified, dextrins",Dextrins and other modified starches,"modified, dextrins, starches",식품용,"(기타 정밀화학제품) 대분류: Dextrins and other modified starches (e.g. pregelatinised or esterified starches); glues based on starches or on dextrins or other modified starches, 중분류: Dextrins and other modified starches"
3507904000,20220101,20251231,"파파인, 브로멜라인과 피신","Papain, bromelain and ficin",(기타 정밀화학제품),Papain; 파파인솔루션-THD,"ㅇ 파파인 0.4%에 정제수, 1,2-헥산디올로 혼합·조제한 무색 투명 액상

- 용도 : 화장품 제조용


※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제3507호에는 “효소와 따로 분류되지 않은 조제 효소”를 분류하며, 제3507.90-4000호에 “파파인, 브로멜라인과 피신”을 세분류하고 있음

- 같은 호 HS해설서에서 “효소 중 상거래 관습상 가장 중요한 것으로 다음과 같은 것이 있다. (5) 파파인(papain)ㆍ브로멜라인(bromelain)ㆍ피신(ficin) : 파파인(papain)이란 용어는 파파야나무[카리카 파파야(Carica papaya)]의 유액 건조물과 이 물품에서 얻을 수 있는 두 가지의 분획물[즉, 파파인(papain)(제한적인 의미에서)과 키모파파인(chymopapain)] 모두를 칭하는데 사용된다. 파파인은 예를 들어 내냉장성(chillproof) 맥주의 제조ㆍ육(肉)연화제용(상기(C) (i) 참조)ㆍ의약용 등에 사용한다.”라고 설명하고 있음

ㅇ 따라서, 본 물품은 파파인이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제3507.90-4000호에 분류함",3507,350790,Enzymes; prepared enzymes not elsewhere specified or included,enzymes,Enzymes and prepared enzymes; other than rennet and concentrates thereof,"enzymes, prepared","파파인, 브로멜라인과 피신","(기타 정밀화학제품) 대분류: Enzymes; prepared enzymes not elsewhere specified or included, 중분류: Enzymes and prepared enzymes; other than rennet and concentrates thereof"
3824100000,20130101,20251231,조제 점결제(주물의 주형용이나 코어용으로 한정한다),Prepared binders for foundry moulds or cores,(기타 화학공업제품),Prepared binders for foundry moulds or cores ; IBAC,"콜로이달 실리카, 수산화나트륨, 수산화칼륨, 이소옥틸 알코올, 물 등을 혼합하여 제조한 무색투명 액상

- 용도 : 알루미늄 주물의 코어용 점결제","ㅇ 관세율표 제3824호에는 ""조제 점결제(주물의 주형용이나 코어용으로 한정한다), 따로 분류되지 않은 화학품과 화학공업이나 연관공업에 따른 조제품(천연물만의 혼합물을 포함한다)""를 분류하며, 소호 제3824.10호에는 “조제 점결제(주물의 주형용이나 코어용으로 한정한다)”를 세분류함

- 같은 호 해설서에서 ""이들은 주물의 주형 또는 코어용에 적합한 견고성을 주고 주조(cast)된 후에 모래 제거가 용이하도록 하기 위해 주물용 모래와 혼합하는 조제품이다.""라고 설명하고 있음

ㅇ 본 물품은 상기와 같이 조제된 알루미늄 주물용 코어의 제조에 사용되는 조제 점결제이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제3824.10-0000호에 분류함",3824,382410,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included","cores, moulds, foundry, binders, prepared","Binders, prepared; for foundry moulds or cores",binders,조제 점결제(주물의 주형용이나 코어용으로 한정한다),"(기타 화학공업제품) 대분류: Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included, 중분류: Binders, prepared; for foundry moulds or cores"
3824998000,20220101,20251231,조제유기과산화물(제3815호의 물품과 제3824.99-4400호의 물품은 제외한다),Prepared organic peroxides (other than products of heading 38.15 and HSK 3824.99-4400),(기타 화학공업제품),Prepared orgainc peroxides ; C-8B(경화제) ; R.KOREA,"2,5-dimethyl-2,5-di(tert-butyl peroxy)hexane, Silicone Gum, polymethyl hydrosiloxane을 혼합, 조제한 반고상
- 용도 : 플라스틱 가교제","ㅇ 관세율표 제3824호에는 “조제 점결제(주물의 주형용이나 코어용으로 한정한다), 따로 분류되지 않은 화학품과 화학공업이나 연관공업에 따른 조제품(천연물만의 혼합물을 포함한다)”이 분류되며
- 같은 호의 HS해설서에서 “이 호에서 분류하는 화학품은 제조할 때 생기는 부산물[예: 나프텐산(naphthenic acid)]로서 얻어지거나 직접적으로 제조된 물품이든 그 성분이 화학적으로 단일하지 않은 물품이다. 화학조제품이나 그 밖의 조제품은 혼합물[특수한 모양의 에멀젼(emulsions)과 분산액(dispersions)으로 된 것]이나 용액(특수한 경우)이다.”라고 설명하고 있음
ㅇ 따라서, 본 품은 중합물 제조 시 가교제로 사용되는 유기과산화물 조제품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제3824.99-8000호에 분류",3824,382499,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included","cores, moulds, foundry, binders, prepared","Chemical products, mixtures and preparations; n.e.c. heading 3824","preparations, chemical",조제유기과산화물(제3815호의 물품과 제3824.99-4400호의 물품은 제외한다),"(기타 화학공업제품) 대분류: Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included, 중분류: Chemical products, mixtures and preparations; n.e.c. heading 3824"
3901101000,20070101,20251231,선형저밀도폴리에틸렌,Linear low density polyethylene,(합성수지),"Polymers of ethylene, in primary forms ; EPE BEAD","ㅇ 물품 개요
- 폴리에틸렌 주성분에 발포제 등을 혼한·압출하여 만든 불규칙한 알갱이 형상의 일차제품[제시규격 : 지름 5㎜내외]
- 주요성분 : 폴리에틸렌(LLDPE(선형저밀도) 70%, MDPE(고밀도) 30%), 발포제, 계면활성제 등

ㅇ물품이미지","ㅇ 관세율표 제3901호에는 ‘에틸렌의 중합체[일차제품(primary form)으로 한정한다]’가 분류되며, 소호 제3901.10호에는 ‘폴리에틸렌(비중이 0.94미만으로 한정한다)’을 세분류하고 있음
- 같은 호 해설서에서 “이 호에는 폴리에틸레노가 화확적으로 변성한 폴리에틸렌(예: 염화한 폴리에틸렌과 클로로술폰화한 폴리에틸렌)을 분류한다.”라고 설명하고 있음

ㅇ 또한 관세율표 제39류 주 제6호에서 “3901호부터 제3914호까지에서 ‘일차제품(primary form)’은 다음 각 목의 형태인 것에만 작용한다...(중략)...나. 불규칙한 모양의 블록·럼트(lump)·가루(몰딩가루를 포함한다)·알갱이·플레이(flake)와 이와 유사한 벌크 모양”이라고 규정하고 있으며,
- 같은 류 총설에서‘일차제품’에 “(2) 가루(powder)·알갱이(granule)나 플레이크(flake) : 이러한 모양의 것은 성형용, 바니시(varnish)·글루(glue) 등의 제조용과 농축제·엉김제 등으로 사용한다. 이것은 성형(moulding)이나 경화(curing)과정에서 가소성이 생기는 비가소성 물질로 조성되거나 이 비가소성 물질에 가소제(可塑劑 : plasticizer)를 첨가하여 조성된 경우가 있다. 이러한 물질은 충전제[예: 목분(wood flour)·셀룰로오스(cellulose)·방직용 섬유·광물성 물질·전분]·착색제나 앞에서 설명한 (1)에서 정한 그 밖의 물질을 첨가하는 경우도 있다.”라고 설명하고 있음

ㅇ 따라서, 본 물품은 일차제품형상의 폴리에틸렌으로서 비중이 0.94미만이며, 선형저밀도폴리에틸렌이 최대 중량을 차지하므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제3901.10-1000호에 분류함",3901,390110,"Polymers of ethylene, in primary forms","polymers, primary, ethylene, forms","Ethylene polymers; in primary forms, polyethylene having a specific gravity of less than 0.94","polymers, ethylene",선형저밀도폴리에틸렌,"(합성수지) 대분류: Polymers of ethylene, in primary forms, 중분류: Ethylene polymers; in primary forms, polyethylene having a specific gravity of less than 0.94"
3904100000,20130101,20251231,폴리(염화비닐)(다른 물질을 혼합하지 않은 것으로 한정한다),"Poly (vinyl chloride), not mixed with any other substances",(합성수지),LS 100H (PVC STRAIGHT),"ㅇ 개요
파이프, 창틀, 전선피목 등의 원료로 사용로 사용되는 폴리염화비닐*
* PVC homopolymer (≤99.7%, Water ≥0.3%)

ㅇ 특성
서스펜션 안정제를 이용해 현탁시키는 방법으로 중합이 단량체 입자내의 미세한 액체방울 속에서 일어나 고분자가 되기 때문며 입경 100㎛의 미세한 알갱이 형태로 가공됨.","ㅇ 관세율표 제3904호에는 “염화비닐의 중합체나 그 밖의 할로겐화 올레핀의 중합체[일차제품(primary form)으로 한정한다]”가 분류되며, 소호 제3904.10호에는 “폴리(염화비닐)(다른 물질을 혼합하지 않은 것으로 한정한다)”을 세분류하고 있음
- 같은 호 해설서에 “이 호에는 폴리(비닐 클로라이드)(PVC)·염화비닐 공중합체(共重合體)·염화비닐리덴 중합체·플루오르(fluoro)중합체와 그 밖의 할로겐 올레핀(halogenated olefins)의 중합체를 분류한다.”라고 설명하고 있음
ㅇ 관세율표 제39류 주 제6호에서 “제3901호부터 제3914호까지에서 ""일차제품(primary form)""은 다음 각 목의 형태인 것에만 적용한다....(중략)...나. 불규칙한 모양의 블록·럼프(lump)·가루(몰딩 가루를 포함한다)·알갱이·플레이크(flake)와 이와 유사한 벌크 모양”을 규정하고 있음
ㅇ 따라서, 본 물품은 다른 물질을 혼합하지 않은 폴리(염화비닐)의 일차제품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제3904.10-0000호에 분류함",3904,390410,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms","halogenated, polymers, primary, forms, vinyl, plastics, olefins, chloride","Vinyl chloride, other halogenated olefin polymers; poly(vinyl chloride), not mixed with any other substances, in primary forms","halogenated, polymers, primary, forms, vinyl, olefins, olefin, chloride",폴리(염화비닐)(다른 물질을 혼합하지 않은 것으로 한정한다),"(합성수지) 대분류: Polymers of vinyl chloride or of other halogenated olefins, in primary forms, 중분류: Vinyl chloride, other halogenated olefin polymers; poly(vinyl chloride), not mixed with any other substances, in primary forms"
3907610000,20170101,20251231,점도번호가 그램당 78 밀리리터 이상인 것,Having a viscosity number of 78 ㎖/g or higher,(합성수지),"Poly(ethylene terephthalate) in primary forms, having a viscosity number of 78 ㎖/g or higher; RECYCLED PET PELLET - BOTTLE GRADE","-(개요)열가소성 Polyethylene terephthalate의 백색계 알갱이상(크기 : 직경 3mm 내외, 점도번호(viscosity number) : 78㎖/g 이상)
-(용도) 병 제조용","○ 관세율표 제3907호에는 “폴리아세탈수지·그 밖의 폴리에테르와 에폭시수지, 폴리카보네이트·알키드수지·폴리아릴에스테르와 그 밖의 폴리에스테르[일차제품(primary form)으로 한정한다]”가 분류되며, 소호 제3907.6호에는 “폴리(에틸렌 테레프탈레이트)”를 세분류하고 있음

○ 같은 호 해설서에 “제(5)-(c)항 폴리(에틸렌 테레프탈레이트)(PET) : 일반적으로 테레프탈산이 에틸렌 글리콜과 함께 에스테르화(esterified)하여 형성되거나 디메틸테레프탈레이트가 에틸렌 글리콜과 반응하여 얻어지는 중합체를 말한다. 직물에서의 대단히 중요한 용도 이외에 포장 필름·녹음용 테이프·청량음료용 병 등의 용도가 있다.”라고 설명하고 있음

○ 같은 표 제39류 주 제7호에는 “제3915호에서는 일차제품(primary form)으로 변형된 단일 열가소성 물질의 웨이스트(waste)ㆍ페어링(paring)ㆍ스크랩(scrap)은 제외한다(제3901호부터 제3914호까지)”라고 규정하고 있으며,

○ 또한, 같은 표 제39류 주 제6호에는 “제3901호부터 제3914호까지에서 “일차제품(primary form)”은 다음 각 목의 형태인 것에만 적용한다. 가. 액체나 페이스트(paste)[분산물(에멀션ㆍ서스펜션)과 용액을 포함한다], 나. 불규칙한 모양의 블록ㆍ럼프(lump)ㆍ가루(몰딩 가루를 포함한다)ㆍ알갱이ㆍ플레이크(flake)와 이와 유사한 벌크 모양”을 명시하고 있음

○ 본 품은 단일 열가소성 물질 폴리(에틸렌 테레프탈레이트)의 일차제품이므로 제3907호에 분류함

○ 따라서, 본 품은 점도번호(viscosity number)가 78㎖/g 이상인 폴리(에틸렌 테레프탈레이트)의 일차제품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제3907.61-0000호에 분류함",3907,390761,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms","epoxide, polyacetals, forms, primary, plastics, resins, polyethers","Poly(ethylene terephthalate); in primary forms, having a viscosity of 78ml/g or higher","ethylene, poly, terephthalate",점도번호가 그램당 78 밀리리터 이상인 것,"(합성수지) 대분류: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms, 중분류: Poly(ethylene terephthalate); in primary forms, having a viscosity of 78ml/g or higher"
